ID,Organization,Expertise,Field,Category,Interest,Influence,Activity,Youth,Level,Site
111,Paradis College,Paradis International College is the largest private high school in the region of Moldova.,Education,Private,High,Low,Low,Youth-focused,Regional,https://paradis-college.ro/
112,Romanian Literacy Association,"The mission of the Romanian Literacy Association is to develop, promote and support educational programs and projects that improve and develop academic services offered by educational institutions for children, young people and adults in Romania and abroad.",Education,Non-governmental,High,High,High,Indirect impact,National,https://www.arlromania.ro/
113,Medlife,MedLife is a company providing medical services in Romania.,Health,Private,High,Low,High,Indirect impact,Local,https://www.medlife.ro/
114,“Dr. Zoitanu Raluca” Individual medical cabinet,,Health,Private,High,Low,Low,Indirect impact,Local,
115,Association of General Practioners Bucharest-Ilfov,"The Bucharest Association of Family Physicians aims to develop and affirm the specialty of family medicine and to represent, support and protect the interests of its members in all spheres of activity and by all means permitted by law.",Health,Non-governmental,High,High,Low,Indirect impact,Local,https://amf-b.ro/
116,Medsana,,Health,Private,Low,Low,Low,Indirect impact,Local,
117,Eka Center,"The Eka Center is the first hub with integrated psychotherapy, wellbeing and personal development services in Romania, available under the same roof.",Health,Private,High,Low,High,Indirect impact,Regional,https://centruleka.com/
118,Catalina Dumitrescu Indepdendent Cabinet,,Health,Private,High,Low,High,Youth-focused,EU,http://www.catalinadumitrescu.eu/
119,Vaslui Penitentiary,,Social,Public,High,Low,High,Youth-focused,Local,https://anp.gov.ro/penitenciarul-vaslui/
120,Providenta Hospital,,Religion,Private,High,Low,High,Indirect impact,Local,https://providentamedical.ro/spitalul-providenta
121,Sports Hub,,Sports,Private,High,Low,High,Indirect impact,National,https://sports-hub.ro/
122,National Men's Basketball League,,Sports,Non-governmental,Low,Low,Low,Indirect impact,National,
123,Regina Maria,"The REGINA MARIA health network offers complete hospitalization and surgery, maternity, polyclinic, imaging, laboratory and stem cell storage services to more than 5 million patients.",Health,Private,High,High,High,Indirect impact,National,https://www.reginamaria.ro/
124,Margareta of Romania Royal Foundation,"In vulnerable communities throughout Romania, the Royal Margareta Foundation of Romania provides its beneficiaries with the tools and knowledge to help themselves. It offers individualized help to children, older people, and families in crises, and we support communities in identifying their resources to solve the problems they face.",Social,Philantropic,High,High,High,Youth-focused,National,https://www.frmr.ro/donationline/?gclid=Cj0KCQjwuZGnBhD1ARIsACxbAVhiRlZ-EFofzOKX19gpjEMzm6-NE4nTR1QhAETjChCWEZjyD-445UYaAmN5EALw_wcB
125,Ministry of Education,"The Ministry of Education is the body of the Government of Romania that coordinates the education system in Romania and sets the objectives of the education system as a whole, as well as the educational goals by levels and education profiles.",Political,Public,Low,High,High,Indirect impact,National,https://www.edu.ro/
126,"""Ștefan cel Mare"" University Suceava","USV is a public institution of higher education that is innovative and complex. It offers bachelor's, master's, doctorate and post-doctorate university study programs. It conducts scientific research in Economic Sciences, Technical Sciences, Engineering and IT, Natural Sciences, Humanities and Health.",Education,Research & academia,High,Low,High,Youth-focused,Local,https://usv.ro/
127,SOS Children's Villages Bucharest,They are a non-governmental organization with the mission of providing a family to children who have been left without parental support and to support and protect those at risk of losing it.,Youth,Non-governmental,High,Low,High,Youth-focused,Regional,https://www.sos-satelecopiilor.ro/?gclid=Cj0KCQjwuZGnBhD1ARIsACxbAVhVdz4uRAYfpbhwpu0meCzXIIe_MuNmcw-PoEL0skIaQhny4yNw-yoaAlJ6EALw_wcB
128,National Center for Policies and Evaluation in Education - Education Research Unit,"The Education Research Unit aims to actively contribute to innovation in education through expertise, training, studies and research. They aim to provide scientific support for the newest educational approaches for authentic, motivating, active and creative learning.",Education,Research & academia,Low,High,Low,Indirect impact,National,https://www.rocnee.eu/
129,Romanian Quality Assurance Agency in Pre-University Education (ARACIP),"Public institution of national interest, under the coordination of the Ministry of Education and Research. They carry out the activity of external assessment of the quality of education (with a view to authorization, accreditation, periodic evaluation and monitoring) in pre-university education;",Education,Public,Low,High,Low,Indirect impact,National,https://aracip.eu/
130,National Authority for the Protection of Children's Rights (ANPDC),The mission of the National Authority for the Protection of Children's Rights and Adoption (ANPDCA) is to protect and promote the rights of children in Romania.,Youth,Public,High,High,High,Youth-focused,National,https://copii.gov.ro/1/
131,National Anti-Drug Agency (ANA),"The mission of the National Anti-Drug Agency is to develop, coordinate, evaluate and monitor, at the national level, policies in the field of preventing and combating drug trafficking and illicit consumption, as well as in the area of integrated consumer assistance, policies applied by the institutions with attributions in the field.",Health,Public,High,High,High,Youth-focused,National,https://ana.gov.ro/
132,Bucharest City Center for Educational Resources and Assistance (CMBRAE),"The Bucharest City Center for Educational Resources and Assistance oversees the operations of the Bucharest City Center for Psycho-pedagogical Assistance (CMBAP) and related offices within the city. They work in collaboration with school centers for inclusive education to provide specialized educational services, and also coordinate and evaluate specialized school mediation services.",Education,Public,Low,Low,Low,Indirect impact,Regional,http://www.cmbrae.ro/2017/
133,Senate of Romania,"The Romanian Senate is one of the Romanian Parliament's two chambers (bicameral). Just like the other chamber, the Chamber of Deputies, the Senate is elected by universal, free, secret and direct vote by the voting citizens of Romania.",Political,Public,Low,High,Low,Indirect impact,National,https://www.cdep.ro/pls/parlam/structura2015.mp?idm=4&leg=2020&cam=1
134,Scouts of Romania National Organization,"Scouts of Romania is the primary national Scouting organization of Romania. Being a scout allows young people to participate in events, activities, programs and projects that contribute to their growth as active citizens.",Youth,Non-governmental,High,Low,High,Youth-focused,National,https://scout.ro/
135,CIVICA Association,Their mission is to increase the power of the people of Iași to control the changes in the community that affect their lives through projects that stimulate public participation and contribute to good governance.,Other,Non-governmental,High,High,Low,Indirect impact,National,https://asociatiacivica.ro/
136,Iasi Community Foundation,"The goal of the Iaşi Community Foundation is to build a better future for Iași and the entire region in a sustainable way by encouraging the joy of the act of donating. Administering the donations received from the people of Iași ensures the fulfillment of the donors' objectives, thus offering the community members concrete opportunities to participate, catalyze the best ideas, and support quality programs.",Social,Non-governmental,High,High,High,Indirect impact,Local,https://www.fundatiacomunitaraiasi.ro/
137,Bethany Social Services Foundation,Bethany Iași Social Services Foundation supports children with disabilities and young people in difficulty.,Social,Non-governmental,High,High,High,Youth-focused,Local,https://bethany.ro/
138,National Association for Children and Adults with Autism from Romania (ANCAAR) - Iași,ANCAAR defends the interests of persons with autism and promotes their results for the purpose of their real social integration.,Youth,Non-governmental,High,High,High,Youth-focused,National,https://www.ancaar-iasi.sctpiasi.ro/despre_proiect.html
139,Artipic Association,"They are a non-governmental organization comprised of active members on the scene of the Iași, national and even international creative industries. Together, they want to make a difference in society through art and civic engagement",Social,Non-governmental,High,Low,High,Youth-focused,Regional,https://artipic.net/
140,Bucharest Municipal Council of Students,They are the most representative structure of students (pre-university level) in the municipality of Bucharest through the existence of representatives at each high school level through the School Council of Students. We talk to decision-makers about the problems that students face and monitor the respect of the rights of our colleagues. We develop young people through projects and events dedicated to improving professional and personal skills.,Education,Non-governmental,High,Low,Low,Youth-lead,Local,https://cme-bucuresti.ro/
141,Motivation Foundation,,Social,Non-governmental,High,High,High,Youth-focused,National,https://motivation.ro/
142,CLARO Association,,Social,Non-governmental,High,Low,High,Indirect impact,National,https://claro.ro/
143,The Mental Health Center within the Alessandrescu Rusescu National Institute for Mother and Child Health,,Health,Private,High,High,High,Indirect impact,National,https://www.insmc.ro/
144,Mind Education,,Health,Private,High,Low,High,Indirect impact,National,https://mindeducation.ro/
145,The Hague Center for Global Governance Innovation and Emergence (THC),"They are an organization and a co-creative collective, serving the emergence of a conscious, harmonious humanity. They innovate for heart-centred, planetary governance with all domains of life, visible and invisible.",Other,Non-governmental,High,Low,High,Indirect impact,Global,https://www.thehaguecenter.org/
146,SuperTeach,"SuperTeach was created to stimulate the discovery and development of greatness, talent and potential in every child and started from the idea of ​​transforming the educational environment so that this goal is achieved starting from the very engine that gives life to this system: teachers.",Education,Non-governmental,High,Low,High,Indirect impact,National,https://www.superteach.ro/
147,7 Pillars,7Pillars facilitates the hiring process by building a link between the tender candidate and the hiring company to promote experiences through which the needs of both parties are heard and understood to facilitate access to resources on both sides.,Employment,Private,High,Low,High,Youth-focused,National,https://7pillars.ro/
148,Hârja Complex - Social Services,"Their association carries out its activity within twelve social centers, three of which are accredited and licensed: the residential center for the care of older people, Home care service for older people, the Day center for children St. Dionisie Exiguul, certified for the provision of psycho-socio-medical, recovery and leisure care.",Social,Non-governmental,High,Low,High,Youth-focused,Regional,https://caminharja.ro/
149,Federation of Non-governmental for Children (FONPC),"FONPC is a prominent advocate for children's rights. They work closely with government officials, Non-governmental, international organizations, and other groups to develop and improve public policies that promote the well-being of children. FONPC's members are experienced and knowledgeable in this area, and they use their expertise to create a comprehensive framework that respects children's rights. Through collaboration with various stakeholders, FONPC aims to achieve their objectives and ensure that children's rights are respected and protected.",Youth,Non-governmental,High,High,High,Youth-focused,National,https://fonpc.ro/
150,Save the Children,"It is currently running projects aimed at the organization's three major priorities: reducing infant mortality, facilitating access to quality education for children from vulnerable communities, and protecting children from violence, neglect or abuse, including those left alone at home after parents' economic migration.",Social,Non-governmental,High,High,High,Youth-focused,National,https://www.salvaticopiii.ro/
151,ESTUAR Foundation,The Estuar Foundation was established in 1993 by the Penumbra Foundation from Scotland and the Romanian League for Mental Health to provide social and alternative options to adults with mental health problems for their inclusion in the Romanian community.,Social,Non-governmental,High,High,High,Indirect impact,National,https://www.estuar.org/
152,World Vision Foundation,"World Vision Romania offers Advocacy, Education, Child Protection and Participation, Rural Economic Development, and Labor Mediation services.",Social,Non-governmental,High,High,High,Youth-focused,National,https://worldvision.ro/
153,AIDRom,"They aim to promote the inclusion of marginalized people, contribute to the social reintegration of high-risk people, ensure equal opportunities and fight against human trafficking and discrimination. It assists refugees and migrants who want to integrate into Romania and has an emergency response in case of disasters.",Religion,Non-governmental,High,High,High,Indirect impact,National,https://www.aidrom.ro/
154,Gifted School,"They aim to provide the child with the right environment to develop, following his abilities and personalizing the educational process. Gifted Romanian School seeks to educate the child's character and to transmit knowledge with practical applicability, not just theoretical.",Education,Private,High,Low,Low,Youth-focused,National,https://giftedschool.ro/
155,House of the Didactic Body Bucharest,"The House of the Didactic Body of the Municipality of Bucharest aims to foster innovation and improvement in education. It provides support for the development of pre-university education institutions and promotes the personal and professional growth of their staff. This is done in accordance with occupational and continuous training standards, quality standards, and the professional and transversal skills required for career advancement in the teaching field. The House also aligns with national and European policies and strategies for education.",Education,Public,High,Low,Low,Indirect impact,National,http://www.ccd-bucuresti.org/index.php/ro/
156,Romanian Agency for Quality Assurance in Higher Education (ARACIS),ARACIS’ mission is to conduct the quality external evaluation of education provided by higher education institutions and other organizations providing higher education study programmes.,Education,Public,Low,Low,Low,Indirect impact,National,https://www.aracis.ro/ebout-aracis/
157,General Directorate of Social Assistance and Child Protection (DGASPC) Sector 6,"The General Directorate of Social Assistance and Child Protection Sector 6 carries out the level of sector 6 social assistance measures in child protection, family, single persons, elderly persons, disabled persons, and any persons in need.",Social,Public,High,High,High,Youth-focused,Local,https://www.protectiacopilului6.ro/
158,Cambridge School of Bucharest,"The Cambridge School of Bucharest (CSB) is an international British School Overseas (BSO) located in Bucharest, Romania.",Education,Private,High,Low,High,Youth-focused,Local,https://www.cambridgeschool.ro/
159,Bucharest International Theoretical High School of Informatics (ICHB),"The Bucharest International Theoretical Informatics High School was established in 1995 by Lumina Institutions of Education and is a private educational institution accredited by the Ministry of Education, Research, Youth and Sports and follows the national education curriculum.",Education,Private,Low,Low,Low,Youth-focused,Local,https://ichb.ro/
160,Cluj IT Cluster,"Cluj IT is a cluster-based organization formed of active organizations in the information technology field: providers of software services and solutions, universities and research institutes, public bodies and other catalyst organizations.",Other,Non-governmental,Low,High,Low,Indirect impact,Local,https://www.clujit.ro/
161,Cluj-Napoca Voluntary Center,The mission of the Cluj-Napoca Volunteer Center is to develop volunteering to involve citizens in solving the problems of the Cluj community.,Youth,Non-governmental,High,Low,High,Youth-focused,Local,https://centruldevoluntariat.ro/
162,Autism Transylvania Association,,Health,Non-governmental,High,Low,High,Youth-focused,Regional,http://www.autismtransilvania.ro/
163,Minte Forte,Mental Health Education supports improving or maintaining mental health and psychological development.,Health,Non-governmental,High,Low,High,Indirect impact,Local,https://minteforte.ro/
164,Romanian Tech Startups Association,"They are an umbrella organization that aims to promote, support and represent the interests of technology start-ups in Romania. ROTSA brings together the main actors of the national ecosystem of technology start-ups, facilitating their communication and creating connections and partnerships between them.",Other,Non-governmental,Low,High,Low,Indirect impact,National,https://rotsa.ro/
165,ClujHub,"ClujHub is a common co-working space, with offices that can be accessed on a subscription basis.",Other,Private,,,,Indirect impact,Local,https://clujhub.ro/
166,TedxCluj,"TED is a conference brand where some of the world's leading thinkers and activists are invited to share insights from the fields they are passionate about. TED defines its mission as ""ideas worth spreading"".",Other,Private,Low,Low,Low,Indirect impact,Local,https://tedxcluj.com/
167,FreshBlood HealthTech,"Non-Governmental Organization that supports health innovation by connecting innovators to things that they need, providing feedback and mentoring.",Health,Non-governmental,High,Low,Low,Indirect impact,EU,https://freshblood.ro/
168,EduNetworks,"The program starts with local consultations and fact-finding visits, after which the participating schools in each cluster have facilitated activities to establish their goals and priorities.",Education,Self-organised,High,Low,High,Youth-focused,National,https://edunetworks.ro/
169,New Horizons Foundation,"At the national level, the New Horizons Foundation runs educational programs. With their help, from the first years of kindergarten until the end of high school, children and young people are supported in their growth and development as educated, involved, responsible and self-confident adults.",Education,Non-governmental,High,Low,High,Youth-focused,National,https://www.noi-orizonturi.ro/
170,Individual Psychotherapy Office Borza Laura,,Health,Private,High,Low,High,Indirect impact,Local,
171,ADA - The Association for Active Development,,Youth,Non-governmental,Low,Low,Low,Youth-focused,National,https://dezvoltareactiva.ro/
172,Red Cross,,Social,Non-governmental,High,High,High,Indirect impact,National,https://crucearosie.ro/
173,White Yellow Cross Care Foundation,,Health,Non-governmental,Low,High,Low,Indirect impact,National,https://www.cag.ro/
174,Softeducation,"Soft Education offers educational projects dedicated to students, with the aim of increasing skills.",Innovation ,Private,High,Low,High,,,https://www.facebook.com/softeducation2016/
175,PsyLife Clinic,Private practice in psychotherapy,Health,Private,High,High,High,Indirect impact,Local,https://psylife.ro/
176,The cheerful psychologist,Private practice in psychotherapy,Health,Private,High,High,High,Youth-focused,Local,https://www.facebook.com/psihologul.vesel.oradea/
177,ISTT - Institute for the Study and Treatment of Trauma,ISTT studies the causes and effects of human psychological traumas in order to popularize them in order to prevent and cure their negative effects.,Health,Public,High,High,High,Indirect impact,National,https://www.istt.ro/
178,Spring Association,Psychological services and organizing training and developmental events ,Health,Non-governmental,High,Low,High,Youth-focused,Regional,https://www.facebook.com/asociatiaspring/
179,Hand in Hand Parenting,The association helps families build a stronger parent-child connection.,Parenting,Non-governmental,High,High,High,Indirect impact,Global,https://www.handinhandparenting.org/
180,Psychology page,,Health,Private,High,High,High,,National,https://www.paginadepsihologie.ro/gaspar/
181,Smart and Happy Association ,The Smart and Happy team develops programs for children with neurodevelopmental disorders and their parents,Health,Non-governmental,High,Low,High,Youth-focused,National,https://smart-and-happy.ro/contacteaza-ne/
182,Promedis Medical Center,,Health,Research & academia,High,High,High,Indirect impact,National,
183,The Duke of Edinburgh's International Award - Romania,,Other,Self-organised,Low,Low,Low,,Global,https://dofe.ro/en/
184,The Children's Activities Support Association of the Cluj Children's Palace,,Youth,Non-governmental,Low,Low,Low,Youth-focused,Local,
185,Blondie association,"Privision of trained volunteers with children hospitalized alone in maternity hospitals and pediatric wards. The volunteer does what a mother would do if she were there: talks to the child, caresses him, tells him stories, loves him",Youth,Non-governmental,High,Low,Low,Youth-focused,National,https://www.asociatia-blondie.ro
186,National Foundation for Youth,"They organise meetings, workshops, training sessions and invest in the recruitment & retention of youth staff and in the development of the infrastructure of the members, as well as in the organization of youth activities by them.",Youth,Non-governmental,Low,Low,Low,Youth-focused,National,https://rotineret.ro
187,EvoCariera,"Focus on building awareness about the future of work and the life and career skills young people need to develop. They develop programs for high-school and university students, and teachers mainly on career skills.  ",Education,Non-governmental,High,Low,High,,Local,
